Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation (m)
SC 15 La Caseta,Naesiotus,wolfi,Naesiotus wolfi,-0.7102,-90.4275333,87
SC18-32,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.727120629,-90.42506911,54.92053223
SC18-32 N=67,Naesiotus,ochsneri,Naesiotus ochsneri,-0.727120629,-90.42506911,54.92053223
SC18-32,Naesiotus,reibischii,Naesiotus reibischii,-0.727120629,-90.42506911,54.92053223
SC18-32,Naesiotus,saeronius,Naesiotus saeronius,-0.727120629,-90.42506911,54.92053223
SC 15 rat gemelos midden,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.630811,-90.394693,
SC 15 rat gemelos midden,Naesiotus,ochsneri,Naesiotus ochsneri,-0.630811,-90.394693,
SC GEMELOS,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.624530995,-90.38421596,638
SC GEMELOS,Naesiotus,jervisensis ,Naesiotus jervisensis ,-0.624530995,-90.38421596,638
SC GEMELOS,Naesiotus,wolfi,Naesiotus wolfi,-0.624530995,-90.38421596,638
SC 00 04 gemelos,Naesiotus,alethorhytidus,Naesiotus alethorhytidus,-0.6245333,-90.38417,638
SC 00 05,Naesiotus,alethorhytidus,Naesiotus alethorhytidus,-0.6245333,-90.38417,638
SC 00 04 gemelos,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.6245333,-90.38417,638
SC 00 04 gemelos,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6245333,-90.38417,638
SC 00 05,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6245333,-90.38417,638
SC 01 02,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.62444444,-90.38416667,634
SC 01 02,Naesiotus,eos,Naesiotus eos,-0.62444444,-90.38416667,634
SC 01 02,Naesiotus,jervisensis ,Naesiotus jervisensis ,-0.62444444,-90.38416667,634
SC18-38,Naesiotus,ochsneri,Naesiotus ochsneri,-0.743399458,-90.38336369,70.54187012
SC18-39,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.744514251,-90.38302448,59.00610352
SC18-39,Naesiotus,ochsneri,Naesiotus ochsneri,-0.744514251,-90.38302448,59.00610352
SC18-39,Naesiotus,reibischii,Naesiotus reibischii,-0.744514251,-90.38302448,59.00610352
SC18-37,Naesiotus,ochsneri,Naesiotus ochsneri,-0.74564958,-90.38280906,19.35217285
SC18-43,Naesiotus,ochsneri,Naesiotus ochsneri,-0.74652683,-90.38149285,78.71313477
SC18-44 Top N=35,Naesiotus,wolfi,Naesiotus wolfi,-0.739356028,-90.38097401,61.64990234
SC18-44 slope N=49,Naesiotus,wolfi,Naesiotus wolfi,-0.739356028,-90.38097401,61.64990234
SC15-13,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.7391,-90.38095,59
SC15-02,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.6221,-90.3808167,603
SC15-02,Naesiotus,lycodus,Naesiotus lycodus,-0.6221,-90.3808167,603
SC15-02,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6221,-90.3808167,603
SC18-42 N=24,Naesiotus,kublerensis,Naesiotus kublerensis,-0.75068308,-90.37971111,31.12817383
SC18-42 N=24,Naesiotus,wolfi,Naesiotus wolfi,-0.75068308,-90.37971111,31.12817383
SC 01 03,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.62055556,-90.37888889,550
SC 01 03,Naesiotus,wolfi,Naesiotus wolfi,-0.62055556,-90.37888889,550
SC18-41 N=1,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.7515833,-90.37542,31
SC15-12,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.7252,-90.3740833,114
SC18-40,Naesiotus,ochsneri,Naesiotus ochsneri,-0.75507964,-90.37291506,37.8572998
SC18-40,Naesiotus,reibischii,Naesiotus reibischii,-0.75507964,-90.37291506,37.8572998
SC18-35,Naesiotus,ochsneri,Naesiotus ochsneri,-0.760764163,-90.37222163,27.7635498
SC18-36 N=26,Naesiotus,ochsneri,Naesiotus ochsneri,-0.759148216,-90.37204888,34.49279785
SC02-02 1,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 2,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 3,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 4,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 5,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 6,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 7,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 8,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 9,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 10,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 11,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 12,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 13,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 14,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 15,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 16,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 17,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 18,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 19,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02 20,Naesiotus,akamatus,Naesiotus akamatus,-0.681935465,-90.37193103,
SC02-02,Naesiotus,steadmani,Naesiotus steadmani,-0.681935465,-90.37193103,
SC 02 02,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6819333,-90.37193,
SC 02 02,Naesiotus,wolfi,Naesiotus wolfi,-0.6819333,-90.37193,
SC19-07,Naesiotus,ochsneri,Naesiotus ochsneri,-0.722272033,-90.36957697,101.722458
SC19-07,Naesiotus,saeronius,Naesiotus saeronius,-0.722272033,-90.36957697,101.722458
SC 01 G Rojo 1,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.6236667,-90.36787,689
SC 01 G Rojo 1,Naesiotus,wolfi,Naesiotus wolfi,-0.6236667,-90.36787,689
SC 01 G Rojo,Naesiotus,kublerensis,Naesiotus kublerensis,-0.623683333,-90.36784904,689.2
SC 01 G Rojo,Naesiotus,ochsneri,Naesiotus ochsneri,-0.623683333,-90.36784904,689.2
SC 01 G Rojo adserseni,Naesiotus,reibischii,Naesiotus reibischii,-0.623683333,-90.36784904,689.2
SC 01 G Rojo,Naesiotus,wolfi,Naesiotus wolfi,-0.623683333,-90.36784904,689.2
SC01 G. Rojo 2 01,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.6169667,-90.36665,690
SC01 G. Rojo 2 02,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.6169667,-90.36665,690
SC01 G. Rojo 2 03,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.6169667,-90.36665,690
SC01 G. Rojo 2 04,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.6169667,-90.36665,690
SC 01 G Rojo 1,Naesiotus,jervisensis ,Naesiotus jervisensis ,-0.6169667,-90.36665,690
SC 01 G Rojo 2,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6169667,-90.36665,690
SC 01 G Rojo 2,Naesiotus,olla,Naesiotus olla,-0.6169667,-90.36665,690
SC 01 G Rojo 2,Naesiotus,wolfi,Naesiotus wolfi,-0.6169667,-90.36665,690
SC15-16,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.6231333,-90.3665667,644
SC15-16,Naesiotus,lycodus,Naesiotus lycodus,-0.6231333,-90.3665667,644
SC15-16,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6231333,-90.3665667,644
SC19-06,Naesiotus,saeronius,Naesiotus saeronius,-0.720102964,-90.36536498,105.338966
SC GR 01,Naesiotus,lycodus,Naesiotus lycodus,-0.6157667,-90.36533,276
SC GR01,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6157667,-90.36533,
SC GR01,Naesiotus,olla,Naesiotus olla,-0.6157667,-90.36533,
SC18-20,Naesiotus,tanneri,Naesiotus tanneri,-0.58683984,-90.36392371,325.7700195
SC15-11,Naesiotus,eos,Naesiotus eos,-0.71585,-90.3617667,115
SC15-11,Naesiotus,lycodus,Naesiotus lycodus,-0.71585,-90.3617667,115
SC15-11,Naesiotus,ochsneri,Naesiotus ochsneri,-0.71585,-90.3617667,115
SC15 15 01 01,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 02,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 03,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 04,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 05,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 06,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 07,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 08,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 09,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 10,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 11,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 12,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 13,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 14,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 15,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 16,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 17,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 18,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 19,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15 15 01 20,Naesiotus,hirsutus,Naesiotus hirsutus,-0.5726167,-90.33812,276
SC15-15 1-01,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-02,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-03,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-04,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-05,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-06,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-07,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-08,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-09,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-10,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-11,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-12,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-13,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-14,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-15,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-16,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-17,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-18,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-19,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15-15 1-20,Naesiotus,reibischii,Naesiotus reibischii,-0.5726167,-90.33812,276
SC15 15 01,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 02,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 03,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 04,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 05,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 06,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 07,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 08,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 09,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 10,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 11,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 12,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 13,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 14,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 15,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 16,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 17,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 18,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 19,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15-GROJO,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.572611,-90.338114,276
SC15- 15 N slope,Naesiotus,hirsutus,Naesiotus hirsutus,-0.572611,-90.338114,276
SC15-GROJO,Naesiotus,lycodus,Naesiotus lycodus,-0.572611,-90.338114,276
SC15-01 adserseni,Naesiotus,reibischii,Naesiotus reibischii,-0.572611,-90.338114,276
SC15-15 aderseni,Naesiotus,reibischii,Naesiotus reibischii,-0.572611,-90.338114,276
SC15- 15 N slope,Naesiotus,reibischii,Naesiotus reibischii,-0.572611,-90.338114,276
SC15-GROJO,Naesiotus,saeronius,Naesiotus saeronius,-0.572611,-90.338114,276
SC15-01,Naesiotus,tanneri,Naesiotus tanneri,-0.572611,-90.338114,276
SC N KM 30 adserseni,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.567734,-90.33801,257
SC N KM 30 adserseni,Naesiotus,reibischii,Naesiotus reibischii,-0.567734,-90.33801,257
SC N KM 30 adserseni,Naesiotus,reibischii,Naesiotus reibischii,-0.567734,-90.33801,257
SC N KM 30,Naesiotus,tanneri,Naesiotus tanneri,-0.567734,-90.33801,257
SC 14 03,Naesiotus,hirsutus,Naesiotus hirsutus,-0.731949946,-90.32863523,79.67443848
SC 14 03,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-01,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-02,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-04,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-05,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-06,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-07,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-08,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-09,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-10,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-11,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-12,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-13,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-14,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-15,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-20,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03 18 xray,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.73195,-90.32863,80
SC14 03 19 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.73195,-90.32863,80
SC14 03 17 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.73195,-90.32863,80
SC14 03 16 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.73195,-90.32863,80
SC14 03 13 xray,Naesiotus,wolfi,Naesiotus wolfi,-0.73195,-90.32863,80
SC 01 01,Naesiotus,kublerensis,Naesiotus kublerensis,-0.68472222,-90.32861111,91
SC 01 01,Naesiotus,n.sp.SC-1,Naesiotus n.sp.SC-1,-0.68472222,-90.32861111,91
SC 01 01,Naesiotus,wolfi,Naesiotus wolfi,-0.68472222,-90.32861111,91
SC 00 9,Naesiotus,wolfi,Naesiotus wolfi,-0.731985737,-90.32854898,96
SC 01 10,Naesiotus,jervisensis ,Naesiotus jervisensis ,-0.7279333,-90.32798,102
SC 01 10,Naesiotus,n.sp.SC-1,Naesiotus n.sp.SC-1,-0.7279333,-90.32798,102
SC 01 10,Naesiotus,wolfi,Naesiotus wolfi,-0.7279333,-90.32798,102
SC 01 11,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.7213667,-90.32652,107
SC 01 11,Naesiotus,steadmani,Naesiotus steadmani,-0.7213667,-90.32652,107
SC 01 11,Naesiotus,wolfi,Naesiotus wolfi,-0.7213667,-90.32652,107
SC 01 CROCKER,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.642501796,-90.32588303,884
SC 01 CROCKER,Naesiotus,eos,Naesiotus eos,-0.642501796,-90.32588303,884
SC 01 CROCKER,Naesiotus,ochsneri,Naesiotus ochsneri,-0.642501796,-90.32588303,884
SC 01 CROCKER,Naesiotus,saeronius,Naesiotus saeronius,-0.642501796,-90.32588303,884
1/2 SC00-6,Naesiotus,adelphus,Naesiotus adelphus,-0.746475,-90.319706,26
2/2 SC00-6,Naesiotus,n.sp.SC-1,Naesiotus n.sp.SC-1,-0.746475,-90.319706,26
EL BARRANCO 14.XI.00,Naesiotus,reibischii,Naesiotus reibischii,-0.746475,-90.319706,26
EL BARRANCO 14.XI.00,Naesiotus,wolfi,Naesiotus wolfi,-0.746475,-90.319706,26
SC 15 26 Behind Tomas de Berlanga,Naesiotus,ochsneri,Naesiotus ochsneri,-0.710277,-90.319088,
SC 15 26 Behind Tomas de Berlanga,Naesiotus,wolfi,Naesiotus wolfi,-0.710277,-90.319088,
SC 15 Urban Snail,Naesiotus,reibischii,Naesiotus reibischii,-0.7326333,-90.3127333,24
SC 15 Urban Snail,Naesiotus,wolfi,Naesiotus wolfi,-0.7326333,-90.3127333,24
SC path going to PNG,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.741929,-90.308661,
SC path going to PNG,Naesiotus,wolfi,Naesiotus wolfi,-0.741929,-90.308661,
SC Barranco,Naesiotus,adelphus,Naesiotus adelphus,-0.7378,-90.301397,26
SC Barranco,Naesiotus,reibischii,Naesiotus reibischii,-0.7378,-90.301397,26
SC18-17 N=34,Naesiotus,ochsneri,Naesiotus ochsneri,-0.637391517,-90.29662759,475.0135498
SC18-17 N=34,Naesiotus,saeronius,Naesiotus saeronius,-0.637391517,-90.29662759,475.0135498
SC18-16 N=5,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.6379167,-90.2961,461
SC18-16 N=5,Naesiotus,saeronius,Naesiotus saeronius,-0.6379167,-90.2961,461
SC 14 cueva bella vista 1,Naesiotus,alethorhytidus,Naesiotus alethorhytidus,-0.6669667,-90.2702,
SC 14 cueva 1 bella vista,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6669667,-90.2702,
SC 03 cueva 1,Naesiotus,olla,Naesiotus olla,-0.6669667,-90.2702,
SC 14 cueva 1 bella vista,Naesiotus,saeronius,Naesiotus saeronius,-0.6669667,-90.2702,
SC 14 cueva bella vista 2,Naesiotus,alethorhytidus,Naesiotus alethorhytidus,-0.6681167,-90.26825,
SC 14 cueva bella vista 2,Naesiotus,lycodus,Naesiotus lycodus,-0.6681167,-90.26825,
SC 14 cueva bella vista 2,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6681167,-90.26825,
SC 14 cueva cascajo,Naesiotus,akamatus,Naesiotus akamatus,-0.6639,-90.26247,260
SC 14 cueva cascajo,Naesiotus,lycodus,Naesiotus lycodus,-0.6639,-90.26247,260
SC 14 cueva cascajo,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.6639,-90.26247,260
SC 03 21,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.65875,-90.2587667,
SC 03 21,Naesiotus,ochsneri,Naesiotus ochsneri,-0.65875,-90.2587667,
SC 03 22,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.65735,-90.2583,
SC 03 22,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.65735,-90.2583,
SCS05 231-1,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-2,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-3,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-4,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-5,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-6,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-7,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-8,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-9,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-10,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-11,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-12,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-13,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-14,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-15,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-16,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-17,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-18,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-19,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231-20,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SCS05 231,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.656009316,-90.25757303,190.5
SC 03 23,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.6560167,-90.2575667,
SC 03 23,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6560167,-90.2575667,
SC 14 08,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.660190461,-90.25714363,248.8651123
SC 14 08,Naesiotus,reibischii,Naesiotus reibischii,-0.660190461,-90.25714363,248.8651123
SC T13,Naesiotus,akamatus,Naesiotus akamatus,-0.660949862,-90.25514798,277
SC T13,Naesiotus,micro,Naesiotus micro,-0.660949862,-90.25514798,277
SC-T13,Naesiotus,reibischii,Naesiotus reibischii,-0.660949862,-90.25514798,277
SC 03 05,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6602167,-90.25455,
SC 03 26,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6531,-90.25455,
SC05 261-1,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-2,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-3,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-4,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-5,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-6,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-7,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-8,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-9,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-10,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-11,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-12,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-13,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-14,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-15,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
