Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation (m)
SC15-C-T20-2-8,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-2-9,Naesiotus,akamatus,Naesiotus akamatus,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-3-1,Naesiotus,kublerensis,Naesiotus kublerensis,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-3-2,Naesiotus,kublerensis,Naesiotus kublerensis,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-3-3,Naesiotus,kublerensis,Naesiotus kublerensis,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-3-4,Naesiotus,kublerensis,Naesiotus kublerensis,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-3-5,Naesiotus,kublerensis,Naesiotus kublerensis,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-3-6,Naesiotus,kublerensis,Naesiotus kublerensis,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-3-7,Naesiotus,kublerensis,Naesiotus kublerensis,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-3-8,Naesiotus,kublerensis,Naesiotus kublerensis,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-3-9,Naesiotus,kublerensis,Naesiotus kublerensis,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-4-1,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-C-T20-4-2,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC2E20,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.701014688,-90.45584025,94.81506348
SC2E20,Naesiotus,reibischii,Naesiotus reibischii,-0.701014688,-90.45584025,94.81506348
SC19-02,Naesiotus,hirsutus,Naesiotus hirsutus,-0.697578024,-90.455653,131.279037
SC19-02,Naesiotus,ochsneri,Naesiotus ochsneri,-0.697578024,-90.455653,131.279037
SC19-02,Naesiotus,reibischii,Naesiotus reibischii,-0.697578024,-90.455653,131.279037
SC 14 14 tanneri,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.697475178,-90.45559173,139.5158691
SC 14 13-14 tanneri,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.697475178,-90.45559173,139.5158691
SC 14 14,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.697475178,-90.45559173,139.5158691
SC14-14,Naesiotus,kublerensis,Naesiotus kublerensis,-0.697475178,-90.45559173,139.5158691
SC 14 14,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.697475178,-90.45559173,139.5158691
SC14-14,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.697475178,-90.45559173,139.5158691
SC 14 14,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.697475178,-90.45559173,139.5158691
SC14-14,Naesiotus,reibischii,Naesiotus reibischii,-0.697475178,-90.45559173,139.5158691
SC 14 14,Naesiotus,wolfi,Naesiotus wolfi,-0.697475178,-90.45559173,139.5158691
