Species,Latitude,Longitude
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus wolfi,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041
Naesiotus hirsutus,-0.692653907,-90.4498041
Naesiotus ochsneri,-0.6243667,-90.4496667
Naesiotus eos,-0.69215904,-90.44935266
Naesiotus wolfi,-0.69215904,-90.44935266
Naesiotus n.sp.SC-3,-0.69228502,-90.44847021
Naesiotus wolfi,-0.69228502,-90.44847021
Naesiotus eos,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.691813957,-90.44613065
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus hirsutus,-0.690075466,-90.44578481
Naesiotus hirsutus,-0.690075466,-90.44578481
Naesiotus hirsutus,-0.690075466,-90.44578481
Naesiotus hirsutus,-0.690075466,-90.44578481
Naesiotus hirsutus,-0.690075466,-90.44578481
Naesiotus hirsutus,-0.690075466,-90.44578481
Naesiotus hirsutus,-0.690075466,-90.44578481
Naesiotus hirsutus,-0.690075466,-90.44578481
Naesiotus hirsutus,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus wolfi,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
Naesiotus akamatus,-0.690075466,-90.44578481
