Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation
SC15-c-01-1-9,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-9,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-10,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-11,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-12,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-13,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-14,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-15,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-16,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-17,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC15-C-01-1-18,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC 15 La Caseta,Naesiotus,wolfi,Naesiotus wolfi,-0.7102,-90.4275333,87
SC GEMELOS,Naesiotus,wolfi,Naesiotus wolfi,-0.624530995,-90.38421596,638
SC18-44 Top N=35,Naesiotus,wolfi,Naesiotus wolfi,-0.739356028,-90.38097401,61.64990234
SC18-44 slope N=49,Naesiotus,wolfi,Naesiotus wolfi,-0.739356028,-90.38097401,61.64990234
SC18-42 N=24,Naesiotus,wolfi,Naesiotus wolfi,-0.75068308,-90.37971111,31.12817383
SC 01 03,Naesiotus,wolfi,Naesiotus wolfi,-0.62055556,-90.37888889,550
SC 02 02,Naesiotus,wolfi,Naesiotus wolfi,-0.6819333,-90.37193,
SC 01 G Rojo 1,Naesiotus,wolfi,Naesiotus wolfi,-0.6236667,-90.36787,689
SC 01 G Rojo,Naesiotus,wolfi,Naesiotus wolfi,-0.623683333,-90.36784904,689.2
SC 01 G Rojo 2,Naesiotus,wolfi,Naesiotus wolfi,-0.6169667,-90.36665,690
SC15 15 01,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 02,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 03,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 04,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 05,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 06,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 07,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 08,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 09,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 10,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 11,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 12,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 13,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 14,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 15,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 16,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 17,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 18,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC15 15 19,Naesiotus,wolfi,Naesiotus wolfi,-0.5726167,-90.33812,276
SC 14 03,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-01,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-02,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-04,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-05,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-06,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-07,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-08,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-09,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-10,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-11,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-12,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-13,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-14,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-15,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03-20,Naesiotus,wolfi,Naesiotus wolfi,-0.731949946,-90.32863523,79.67443848
SC14 03 13 xray,Naesiotus,wolfi,Naesiotus wolfi,-0.73195,-90.32863,80
SC 01 01,Naesiotus,wolfi,Naesiotus wolfi,-0.68472222,-90.32861111,91
SC 00 9,Naesiotus,wolfi,Naesiotus wolfi,-0.731985737,-90.32854898,96
SC 01 10,Naesiotus,wolfi,Naesiotus wolfi,-0.7279333,-90.32798,102
SC 01 11,Naesiotus,wolfi,Naesiotus wolfi,-0.7213667,-90.32652,107
EL BARRANCO 14.XI.00,Naesiotus,wolfi,Naesiotus wolfi,-0.746475,-90.319706,26
SC 15 26 Behind Tomas de Berlanga,Naesiotus,wolfi,Naesiotus wolfi,-0.710277,-90.319088,
SC 15 Urban Snail,Naesiotus,wolfi,Naesiotus wolfi,-0.7326333,-90.3127333,24
