Species,Latitude,Longitude
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S02,-0.690075466,-90.44578481
S02,-0.690075466,-90.44578481
S02,-0.690075466,-90.44578481
S02,-0.690075466,-90.44578481
S02,-0.690075466,-90.44578481
S02,-0.690075466,-90.44578481
S02,-0.690075466,-90.44578481
S02,-0.690075466,-90.44578481
S02,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S01,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S09,-0.690075466,-90.44578481
S07,-0.618727785,-90.44570058
S07,-0.6187333,-90.4457
S07,-0.6187333,-90.4457
S15,-0.669,-90.43233
S07,-0.669,-90.43233
S07,-0.669,-90.43233
S15,-0.669,-90.43233
S07,-0.669,-90.43233
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S08,-0.668698,-90.431738
S01,-0.7102,-90.4275333
S07,-0.7102,-90.4275333
S05,-0.7102,-90.4275333
S07,-0.727120629,-90.42506911
S16,-0.727120629,-90.42506911
S04,-0.727120629,-90.42506911
S03,-0.727120629,-90.42506911
S08,-0.630811,-90.394693
S07,-0.630811,-90.394693
S01,-0.624530995,-90.38421596
S08,-0.624530995,-90.38421596
S07,-0.6245333,-90.38417
S08,-0.6245333,-90.38417
S15,-0.6245333,-90.38417
S07,-0.6245333,-90.38417
S15,-0.6245333,-90.38417
S08,-0.62444444,-90.38416667
S05,-0.62444444,-90.38416667
S07,-0.743399458,-90.38336369
S07,-0.744514251,-90.38302448
S12,-0.744514251,-90.38302448
S03,-0.744514251,-90.38302448
S07,-0.74564958,-90.38280906
S07,-0.74652683,-90.38149285
S01,-0.739356028,-90.38097401
S01,-0.739356028,-90.38097401
S04,-0.7391,-90.38095
S07,-0.6221,-90.3808167
S08,-0.6221,-90.3808167
S10,-0.6221,-90.3808167
S01,-0.75068308,-90.37971111
S14,-0.75068308,-90.37971111
S08,-0.62055556,-90.37888889
S01,-0.62055556,-90.37888889
S12,-0.7515833,-90.37542
S04,-0.7252,-90.3740833
S07,-0.75507964,-90.37291506
S03,-0.75507964,-90.37291506
S07,-0.760764163,-90.37222163
S07,-0.759148216,-90.37204888
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S09,-0.681935465,-90.37193103
S01,-0.6819333,-90.37193
S12,-0.6819333,-90.37193
S16,-0.722272033,-90.36957697
S07,-0.722272033,-90.36957697
S01,-0.6236667,-90.36787
S08,-0.6236667,-90.36787
S07,-0.623683333,-90.36784904
S14,-0.623683333,-90.36784904
S01,-0.623683333,-90.36784904
S03,-0.623683333,-90.36784904
S07,-0.6169667,-90.36665
S01,-0.6169667,-90.36665
S08,-0.6169667,-90.36665
S08,-0.6169667,-90.36665
S08,-0.6169667,-90.36665
S08,-0.6169667,-90.36665
S08,-0.6231333,-90.3665667
S07,-0.6231333,-90.3665667
S10,-0.6231333,-90.3665667
S16,-0.720102964,-90.36536498
S07,-0.6157667,-90.36533
S10,-0.6157667,-90.36533
S07,-0.71585,-90.3617667
S05,-0.71585,-90.3617667
S10,-0.71585,-90.3617667
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S01,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
