Species,Latitude,Longitude,Locality
Naesiotus saeronius,-0.633702,-90.364433,SC Cavag. (8)
Naesiotus cavagnaroi,-0.630811,-90.394693,SC 15 rat gemelos midden
Naesiotus ochsneri,-0.630811,-90.394693,SC 15 rat gemelos midden
Naesiotus alethorhytidus,-0.62946,-90.440201,SC 15 safari camp
Naesiotus cf. ochsneri,-0.62946,-90.440201,SC 15 safari camp
Naesiotus lycodus,-0.62946,-90.440201,SC 15 safari camp
Naesiotus ochsneri,-0.62946,-90.440201,SC 15 safari camp
Naesiotus wolfi,-0.62946,-90.440201,SC 15 safari camp
Naesiotus wolfi 4,-0.626963088,-90.29007914,SC 15 Cerro Mesa
Naesiotus alethorhytidus,-0.625885,-90.384672,SC 15 gemelos
Naesiotus lycodus,-0.625885,-90.384672,SC 15 gemelos
Naesiotus alethorhytidus,-0.6255167,-90.35967,SC16-04
Naesiotus cavagnaroi,-0.6255167,-90.35967,SC16-04 (56)
Naesiotus eos,-0.6255167,-90.35967,SC16-04
Naesiotus lycodus,-0.6255167,-90.35967,SC16-04
Naesiotus ochsneri,-0.6255167,-90.35967,SC16-04 (82)
Naesiotus wolfi,-0.624605,-90.383638,SC 15 gemelos
Naesiotus alethorhytidus,-0.6245333,-90.38417,SC 00 05
Naesiotus cavagnaroi,-0.6245333,-90.38417,SC 00 04 gemelos
Naesiotus ochsneri,-0.6245333,-90.38417,SC 00 04 gemelos
Naesiotus cavagnaroi,-0.624530995,-90.38421596,SC GEMELOS
Naesiotus wolfi,-0.624530995,-90.38421596,SC GEMELOS
Naesiotus cavagnaroi,-0.62444444,-90.38416667,SC 01 02
Naesiotus eos,-0.62444444,-90.38416667,SC 01 02
Naesiotus ochsneri,-0.6243667,-90.4496667,SC15-05
Naesiotus ochsneri,-0.623683333,-90.36784904,SC 01 G Rojo
Naesiotus reibischii,-0.623683333,-90.36784904,SC 01 G Rojo adserseni
Naesiotus wolfi 4,-0.623683333,-90.36784904,SC 01 G Rojo
Naesiotus cavagnaroi,-0.6236667,-90.36787,SC 01 G Rojo 1
Naesiotus wolfi 4,-0.6236667,-90.36787,SC 01 G Rojo 1
Naesiotus ochsneri,-0.6235833,-90.4522167,SC15-06
Naesiotus cavagnaroi,-0.6231333,-90.3665667,SC15-16
Naesiotus eos,-0.6231333,-90.3665667,SC15-16
Naesiotus lycodus,-0.6231333,-90.3665667,SC15-16
Naesiotus ochsneri,-0.6231333,-90.3665667,SC15-16
Naesiotus cf. ochsneri,-0.6229167,-90.45315,SC15-07
Naesiotus eos,-0.6229167,-90.45315,SC15-07
Naesiotus lycodus,-0.6229167,-90.45315,SC15-07
Naesiotus ochsneri,-0.6229167,-90.45315,SC15 07 01 xray
Naesiotus cavagnaroi,-0.6221,-90.3808167,SC15-02
Naesiotus lycodus,-0.6221,-90.3808167,SC15-02
Naesiotus ochsneri,-0.6221,-90.3808167,SC15-02
Naesiotus cavagnaroi,-0.62055556,-90.37888889,SC 01 03
Naesiotus lycodus,-0.62055556,-90.37888889,SC 01 03
Naesiotus ochsneri,-0.6187333,-90.4457,SC18-46 N=34
Naesiotus ochsneri,-0.618727785,-90.44570058,SC18-46 n=38
Naesiotus cf. ochsneri,-0.6186,-90.4569833,SC15-09
Naesiotus ochsneri,-0.6186,-90.4569833,SC15-09
Naesiotus cavagnaroi,-0.6169667,-90.36665,SC01 G. Rojo 2 01
Naesiotus ochsneri,-0.6169667,-90.36665,SC 01 G Rojo 2
Naesiotus wolfi 4,-0.6169667,-90.36665,SC 01 G Rojo 2
Naesiotus ochsneri,-0.616635662,-90.42327253,SC16-02
Naesiotus wolfi,-0.616635662,-90.42327253,SC16-02
Naesiotus cf. ochsneri,-0.6163667,-90.4584667,SC15-10
Naesiotus hirsutus,-0.6163667,-90.4584667,SC15-10
Naesiotus reibischii,-0.6163667,-90.4584667,SC15-10
Naesiotus ochsneri,-0.6157667,-90.36533,SC GR01
Naesiotus eos,-0.6155667,-90.42643,SC16-01
Naesiotus hirsutus,-0.6155667,-90.42643,SC16-01
Naesiotus ochsneri,-0.6155667,-90.42643,SC16-01 45
Naesiotus wolfi 4,-0.6155667,-90.42643,SC16-01 63
Naesiotus cf. ochsneri,-0.613948843,-90.45036854,SC18-49 N=91
Naesiotus hirsutus,-0.613948843,-90.45036854,SC18-49 N=91
Naesiotus ochsneri,-0.613948843,-90.45036854,SC18-49 N=91
Naesiotus cf. ochsneri,-0.610283352,-90.41954996,SC 15 n Park line w
Naesiotus eos,-0.610283352,-90.41954996,SC 15 n Park line w
Naesiotus saeronius,-0.610283352,-90.41954996,SC 15 n Park line w
Naesiotus wolfi,-0.610283352,-90.41954996,SC 15 n Park line w
Naesiotus hirsutus,-0.5726167,-90.33812,SC15 15 01 01
Naesiotus reibischii,-0.5726167,-90.33812,SC15-15 1-01
Naesiotus wolfi,-0.5726167,-90.33812,SC15 15 01
Naesiotus alethorhytidus,-0.572611,-90.338114,SC15-GROJO
Naesiotus lycodus,-0.572611,-90.338114,SC15-GROJO
Naesiotus ochsneri,-0.572611,-90.338114,SC15-GROJO
Naesiotus reibischii,-0.572611,-90.338114,SC15-01 adserseni
Naesiotus saeronius,-0.572611,-90.338114,SC15- 15 N slope
Naesiotus n.sp. Yannickus,-0.567734,-90.33801,SC N KM 30 adserseni
Naesiotus reibischii,-0.567734,-90.33801,SC N KM 30 adserseni
