Species,Latitude,Longitude,Locality
Naesiotus cf. ochsneri,-0.700633144,-90.45586087,SC2T20
Naesiotus n.sp.SC-3,-0.700633144,-90.45586087,SC2T20
Naesiotus ochsneri,-0.700633144,-90.45586087,SC2T20
Naesiotus eos,-0.7003667,-90.45608,SC 14 18
Naesiotus lycodus,-0.7003667,-90.45608,SC 14 18
Naesiotus n.sp.SC-2,-0.7003667,-90.45608,SC 14 18
Naesiotus wolfi,-0.7003667,-90.45608,SC 14 18
Naesiotus cf. ochsneri,-0.699108727,-90.45676368,SC2T18
Naesiotus n.sp.SC-3,-0.699108727,-90.45676368,SC2T18
Naesiotus ochsneri,-0.698675634,-90.45664164,SC2E17
Naesiotus wolfi 2,-0.698675634,-90.45664164,SC2E17
Naesiotus n.sp.SC-3,-0.698256791,-90.45640024,SC2T17H5
Naesiotus ochsneri,-0.698256791,-90.45640024,SC2T17H5
Naesiotus wolfi 2,-0.698256791,-90.45640024,SC2T17H5
Naesiotus kublerensis,-0.698057134,-90.4562202,SC14 15 1 01
Naesiotus n.sp.SC-3,-0.698057134,-90.4562202,SC 14 15
Naesiotus wolfi 2,-0.698057134,-90.4562202,SC 14 15
Naesiotus eos,-0.697863931,-90.45595625,SC17-04
Naesiotus n.sp. Yannickus,-0.697863931,-90.45595625,SC17-04
Naesiotus n.sp.SC-3,-0.697863931,-90.45595625,SC17-04
Naesiotus ochsneri,-0.697863931,-90.45595625,SC17-04
Naesiotus wolfi 2,-0.697863931,-90.45595625,SC17-04
Naesiotus akamatus,-0.697678439,-90.4556768,SC2T16
Naesiotus cf. ochsneri,-0.697678439,-90.4556768,SC2T16
Naesiotus eos,-0.697678439,-90.4556768,SC2T16
Naesiotus n.sp. Yannickus,-0.697678439,-90.4556768,SC2T16
Naesiotus hirsutus,-0.697578024,-90.455653,SC19-02
Naesiotus ochsneri,-0.697578024,-90.455653,SC19-02
Naesiotus cf. ochsneri,-0.697475178,-90.45559173,SC 14 14 tanneri
Naesiotus n.sp. Yannickus,-0.697475178,-90.45559173,SC14-14
Naesiotus n.sp.SC-3,-0.697475178,-90.45559173,SC14-14
Naesiotus reibischii,-0.697475178,-90.45559173,SC14-14
Naesiotus wolfi 2,-0.697475178,-90.45559173,SC 14 14
Naesiotus akamatus,-0.696197022,-90.45465723,SC17 El Chato
Naesiotus cf. ochsneri,-0.696197022,-90.45465723,SC17 El Chato 5
Naesiotus eos,-0.696197022,-90.45465723,SC17 El Chato
Naesiotus n.sp. Yannickus,-0.696197022,-90.45465723,El Chato (2)
Naesiotus n.sp.SC-2,-0.696197022,-90.45465723,SC17 El Chato 5
Naesiotus n.sp.SC-3,-0.696197022,-90.45465723,SC17 El Chato
Naesiotus ochsneri,-0.696197022,-90.45465723,SC17 El Chato
Naesiotus wolfi 2,-0.696197022,-90.45465723,SC17 El Chato
Naesiotus n.sp.SC-3,-0.6945167,-90.45265,SC 14 13-14
Naesiotus reibischii,-0.6945167,-90.45265,SC 14 13-14
Naesiotus wolfi 2,-0.6945167,-90.45265,SC 14 13-14
Naesiotus hirsutus,-0.692795981,-90.44992698,SC19-03 n=2 Shells
Naesiotus eos,-0.692673018,-90.44990703,SC19 01 shells N=43
Naesiotus n.sp.SC-3,-0.692673018,-90.44990703,SC19 01 shells N=43
Naesiotus wolfi 2,-0.692673018,-90.44990703,SC19 01 shells N=43
Naesiotus saeronius,-0.692673018,-90.44990703,SC19 01 shells N=43
Naesiotus eos,-0.692653907,-90.4498041,SC 14 13
Naesiotus hirsutus,-0.692653907,-90.4498041,SC14 13 2 11
Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,SC14 13 2 01
Naesiotus n.sp.SC-3,-0.692653907,-90.4498041,SC 14 13
Naesiotus wolfi,-0.692653907,-90.4498041,SC14 13 1 01
Naesiotus wolfi 2,-0.692653907,-90.4498041,SC 14 13
Naesiotus n.sp.SC-3,-0.69228502,-90.44847021,SC 14 11
Naesiotus wolfi 2,-0.69228502,-90.44847021,SC 14 11
Naesiotus eos,-0.69215904,-90.44935266,SC 14 12
Naesiotus wolfi 2,-0.69215904,-90.44935266,SC 14 12
Naesiotus eos,-0.691813957,-90.44613065,SC 14 10
Naesiotus wolfi,-0.691813957,-90.44613065,SC14 10 1 01
